,CASE,RAD?,TRIM?,MACH,RE,ALT,Q,BETA,PHI,SREF,XCG,XMRP,LREF,LATREF,DEFL_1_1,DEFL_1_2,DEFL_1_3,DEFL_1_4,DEFL_2_1,DEFL_2_2,DEFL_2_3,DEFL_2_4,ALPHA,CN,CM,CA,CA_0B,CA_FB,CY,CLN,CLL,CL,CD,CL/CD,X-C.P.,CNA,CMA,CNQ,CMQ,CAQ,CNAD,CMAD,CYQ,CLNQ,CLLQ
13,1,0,0,0.3,7000000.0,0.0,6383.4858,-3.35,0.0,0.034,1.64,0.6212,2.64,2.64,15.921,-3.662,7.202,-1.704,0.0,0.0,0.0,0.0,13.398,1.7877,-0.1458,0.1451,0.1112,0.1451,0.3396,-0.0645,0.0018,1.7054,0.5554,3.0706,-0.0815,0.1586,-0.0165,0.1057,-0.0371,0.001,0.0289,-0.0014,0.0145,-0.0069,0.0002
14,1,0,0,0.3,7000000.0,0.0,6383.4858,-3.35,0.0,0.034,1.64,0.6212,2.64,2.64,15.921,-3.662,7.202,-1.704,0.0,0.0,0.0,0.0,-14.974,-2.0701,0.1663,0.1279,0.0942,0.1279,0.297,-0.0547,0.0051,-1.9668,0.6584,-2.9871,-0.0803,0.1609,-0.0192,-0.0973,0.035,0.0009,0.0289,-0.0014,0.0105,-0.0058,0.0003
15,1,0,0,0.3,7000000.0,0.0,6383.4858,-3.35,0.0,0.034,1.64,0.6212,2.64,2.64,15.921,-3.662,7.202,-1.704,0.0,0.0,0.0,0.0,-10.485,-1.3661,0.0889,0.1713,0.1372,0.1713,0.308,-0.0497,0.0001,-1.3121,0.4171,-3.1461,-0.0651,0.1527,-0.0152,-0.0624,0.0302,0.0006,0.0289,-0.0014,0.0109,-0.0068,-0.0001
16,1,0,0,0.3,7000000.0,0.0,6383.4858,-3.35,0.0,0.034,1.64,0.6212,2.64,2.64,15.921,-3.662,7.202,-1.704,0.0,0.0,0.0,0.0,-8.861,-1.1247,0.0674,0.1815,0.1473,0.1815,0.2569,-0.0322,-0.0056,-1.0833,0.3526,-3.0721,-0.0599,0.1452,-0.0125,-0.0522,0.0279,0.0006,0.0289,-0.0014,0.0113,-0.0075,-0.0003
17,1,0,0,0.3,7000000.0,0.0,6383.4858,-3.35,0.0,0.034,1.64,0.6212,2.64,2.64,15.921,-3.662,7.202,-1.704,0.0,0.0,0.0,0.0,-5.75,-0.6839,0.0307,0.1938,0.1594,0.1938,0.2919,-0.0435,-0.0076,-0.661,0.2613,-2.5297,-0.045,0.131,-0.0095,-0.033,0.0225,0.0006,0.0289,-0.0014,0.0261,-0.0141,0.0002
18,1,0,0,0.3,7000000.0,0.0,6383.4858,-3.35,0.0,0.034,1.64,0.6212,2.64,2.64,15.921,-3.662,7.202,-1.704,0.0,0.0,0.0,0.0,-2.185,-0.2549,0.0046,0.1984,0.1641,0.1984,0.3906,-0.078,-0.0041,-0.2472,0.208,-1.1882,-0.0182,0.1134,-0.0059,-0.0054,0.0107,0.0009,0.0289,-0.0014,0.0447,-0.0246,0.0008
19,1,0,0,0.3,7000000.0,0.0,6383.4858,-3.35,0.0,0.034,1.64,0.6212,2.64,2.64,15.921,-3.662,7.202,-1.704,0.0,0.0,0.0,0.0,1.03,0.0875,-0.0099,0.1978,0.1635,0.1978,0.4248,-0.0894,-0.0027,0.0839,0.1994,0.421,-0.1131,0.1053,-0.0041,0.0203,-0.0079,0.0013,0.0289,-0.0014,0.0506,-0.028,0.0009
20,1,0,0,0.3,7000000.0,0.0,6383.4858,-3.35,0.0,0.034,1.64,0.6212,2.64,2.64,15.921,-3.662,7.202,-1.704,0.0,0.0,0.0,0.0,1.527,0.1392,-0.0117,0.1975,0.1631,0.1975,0.4157,-0.0864,-0.003,0.1339,0.2011,0.666,-0.0839,0.103,-0.0031,0.0247,-0.0109,0.0013,0.0289,-0.0014,0.0474,-0.0264,0.0008
21,1,0,0,0.3,7000000.0,0.0,6383.4858,-3.35,0.0,0.034,1.64,0.6212,2.64,2.64,15.921,-3.662,7.202,-1.704,0.0,0.0,0.0,0.0,2.278,0.2157,-0.0136,0.1967,0.1624,0.1967,0.3957,-0.0796,-0.0037,0.2077,0.2052,1.0125,-0.0632,0.1009,-0.0021,0.0316,-0.0149,0.0012,0.0289,-0.0014,0.0419,-0.0235,0.0007
22,1,0,0,0.3,7000000.0,0.0,6383.4858,-3.35,0.0,0.034,1.64,0.6212,2.64,2.64,15.921,-3.662,7.202,-1.704,0.0,0.0,0.0,0.0,3.259,0.3139,-0.0152,0.1955,0.1611,0.1955,0.3727,-0.0716,-0.0053,0.3023,0.213,1.4189,-0.0485,0.1108,-0.0046,0.0396,-0.0189,0.0011,0.0289,-0.0014,0.0354,-0.0199,0.0005
